Code	Short	Long						
000V	One Thousand vehicles							
ACCOMPOST	Composts and better fertilisation timing	Mitigation option for crop-related N2O emissions: Composts and better fertilisation timing						
ACCOMPOST01	Composts and better fertilisation timing	Mitigation option for crop-related N2O emissions: Composts and better fertilisation timing						
ACDRAIN	Better crop drainage	Mitigation option for crop-related N2O emissions: Drainage						
ACDRAIN01	Better crop drainage	Mitigation option for crop-related N2O emissions: Drainage						
ACFERT	Improved fertilisation management	Mitigation option for crop-related N2O emissions: Improved fertilisation management						
ACFERT01	Improved fertilisation management	Mitigation option for crop-related N2O emissions: Improved fertilisation management						
ACNEWSPEC	species introduction	Mitigation option for crop-related N2O emissions: species introduction						
ACNEWSPEC01	New species introduction	Mitigation option for crop-related N2O emissions: New species introduction						
ACNINHIBIT	Nitrogen inhibitors	Mitigation option for crop-related N2O emissions: Nitrogen inhibitors						
ACNINHIBIT01	Nitrogen inhibitors	Mitigation option for crop-related N2O emissions: Nitrogen inhibitors						
ACT_BND~FX~2010	Bound on activity of a process in 2010							
ACT_BND~LO~2015	"Lower activity bounds to support existing capacity, 2015"							
ACT_BND~LO~2020	"Lower Activity bounds to support existing capacity, 2020"							
ACT_BND~LO~2025	"Lower Activity bounds to support existing capacity, 2025"							
ACT_BND~LO~2030	"Lower Activity bounds to support existing capacity, 2030"							
ACT_BND~UP~0	Interpolation rules (0 = default interpolation/extrapolation)	Interpolation rules (0 = default interpolation/extrapolation)						
ACT_BND~UP~0	Interpolation rules (3 = full interpolation and extrapolation)	Interpolation rules (3 = full interpolation and extrapolation)						
ACT_BND~UP~2010	Upper activity bound to support existing capacity - 2010	Upper activity bound to support existing capacity - 2010						
ACT_BND~UP~2020	Upper activity bound to support existing capacity - 2020	Upper activity bound to support existing capacity - 2020						
ACT_BND~UP~2030	Upper activity bound to support existing capacity - 2030	Upper activity bound to support existing capacity - 2030						
ACT_BND~UP~2040	Upper activity bound to support existing capacity - 2040	Upper activity bound to support existing capacity - 2040						
ACT_BND~UP~2050	Upper activity bound to support existing capacity - 2050	Upper activity bound to support existing capacity - 2050						
ACT_COST	Activity Cost (Cost per unit of output) - 2010 (2010 prices)							
ACT_COST~2030	Activity Cost (Cost per unit of output) - 2030 (2010 prices)							
ACTILLAGE	Reduced tillage	Mitigation option for crop-related N2O emissions: Reduced tillage						
ACTILLAGE01	Reduced tillage	Mitigation option for crop-related N2O emissions: Reduced tillage						
AD	Commodity fraction - Autumn Day							
ADISTELC	electricity distribution (agricultural)	electricity distribution network to the agricultural sector						
ADISTELC00	Existing electricity distribution (agricultural)	Existing electricity distribution network to the agricultural sector						
ADISTELC00	electricity distribution (agricultural)	electricity distribution (agricultural)						
ADISTELC01	New electricity distribution (agricultural)	New electricity distribution network to the agricultural sector						
ADISTELC01	electricity distribution (agricultural)	electricity distribution (agricultural)						
AE	Commodity fraction - Autumn Evening							
AELC	Electricity demand (agricultural)	Electricity demand in the agricultural sector (in PJ)						
AELC00	Existing generic electricity consuming technology (Efficiency =1)	Existing generic electricity consuming technology (Efficiency =1)						
AELC01	New generic electricity consuming technology (Efficiency =1)	New generic electricity consuming technology (Efficiency =1)						
AF	Vehicle range (Max kilometres per vehicle)							
AF~2010	Vehicle range (Max kilometres per vehicle) - 2010							
AFV	alternative fuel vehicle	alternative fuel vehicle						
AGBGENION	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Beef cattle - genetics, ionophores"	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Beef cattle - genetics, ionophores"						
AGBGENION01	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Beef cattle - genetics, ionophores"	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Beef cattle - genetics, ionophores"						
AGCP01	INTEGRATE-FERTILISER-AND-MANURE-NUTRIENT-SUPPLY.	INTEGRATE-FERTILISER-AND-MANURE-NUTRIENT-SUPPLY.						
AGCP02	USE-CLOVER-IN-PLACE-OF-FERTILISER.	USE-CLOVER-IN-PLACE-OF-FERTILISER.						
AGCP03	FERTILISER-PLACEMENT-TECHNOLOGIES.	FERTILISER-PLACEMENT-TECHNOLOGIES.						
AGCP05	UNDERSOWN-SPRING-CEREALS.	UNDERSOWN-SPRING-CEREALS.						
AGCP06	USE-A-FERTILISER-RECOMMENDATION-SYSTEM.	USE-A-FERTILISER-RECOMMENDATION-SYSTEM.						
AGCP07	USE-PLANTS-WITH-IMPROVED-NITROGEN-USE-EFFICIENCY.	USE-PLANTS-WITH-IMPROVED-NITROGEN-USE-EFFICIENCY.						
AGCP08	DO-NOT-SPREAD-FYM-AT-HIGH-RISK-TIMES.	DO-NOT-SPREAD-FYM-AT-HIGH-RISK-TIMES.						
AGCP09	DO-NOT-SPREAD-SLURRY-OR-POULTRY-MANURE-AT-HIGH-RISK-TIMES.	DO-NOT-SPREAD-SLURRY-OR-POULTRY-MANURE-AT-HIGH-RISK-TIMES.						
AGCP10	DITCH-MANAGEMENT-ON-GRASSLAND.	DITCH-MANAGEMENT-ON-GRASSLAND.						
AGCP11	UNCROPPED-ARABLE-FIELD-MARGINS.	UNCROPPED-ARABLE-FIELD-MARGINS.						
AGDBST	Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - Bovine somatotrophin	Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - Bovine somatotrophin						
AGDBST01	Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - Bovine somatotrophin	Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - Bovine somatotrophin						
AGDMANION	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - ionophores, improved management"	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - ionophores, improved management"						
AGDMANION01	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - ionophores, improved management"	"Mitigation option for livestock-related (enteric fermentation) CH4 emissions: Dairy cattle - ionophores, improved management"						
AGLF01	Use triticale in place of 2nd feed wheat.	Use triticale in place of 2nd feed wheat.						
AGLF02	Increased use of maize silage.	Increased use of maize silage.						
AGLF03	Feed high sugar grasses.	Feed high sugar grasses.						
AGLF04	Feed naked oats to beef cattle.	Feed naked oats to beef cattle.						
AGLF05	Reduce dietary n and p intakes :dairy.	Reduce dietary n and p intakes :dairy.						
AGLF06	Feed naked oats to dairy cattle.	Feed naked oats to dairy cattle.						
AGLH01	Livestock health cost saving	Livestock health cost saving						
AGLH02	Livestock health cost to farmer	Livestock health cost to farmer						
AGLM01	Cover slurry lagoons: beef.	Cover slurry lagoons: beef.						
